API NUMBER,Lat_Wellhead,Lon_Wellhead,Top_Perfs_MD,Lat_length,Fluid,Proppant,Max_Gas,Proppant_per_Ft,Fluid_per_Ft,Max_Gas_per_Ft
3.14111E+12,35.4448,-92.4641,3834,6162,73713,4887390,990716,793.1499513,11.96251217,160.7783187
3.0451E+12,35.3231,-92.3935,6758,3454,109004,2935082,332904,849.7631731,31.55877244,96.38216561
3.0451E+12,35.3341,-92.1133,5788,4427,115162,3913091,428062,883.9148407,26.0135532,96.69347188
3.0451E+12,35.2939,-92.443,6613,4747,127571,4409958,687519,928.9989467,26.8740257,144.8323151
3.02911E+12,35.2722,-92.647,6197,3950,98238,3131723,428255,792.8412658,24.87037975,108.4189873
3.14111E+12,35.4691,-92.6328,2742,2873,67852,1950000,555845,678.7330317,23.61712496,193.4719805
3.14112E+12,35.4283,-92.4561,4293,5371,85686,3933427,833509,732.3453733,15.95345373,155.1869298
3.14111E+12,35.4512,-92.3485,3801,4295,133326,3482233,579609,810.7643772,31.04214203,134.949709
3.0451E+12,35.3381,-92.1924,5358,4186,90658,3526081,650666,842.3509317,21.65742953,155.4386049
3.04511E+12,35.3576,-92.2581,5968,6239,392.8571429,7828739,599990,1254.8067,0.062967966,96.16765507
3.0451E+12,35.3416,-92.1854,6555,5854,162773,5096309,662786,870.568671,27.80543218,113.2193372
3.14112E+12,35.3917,-92.4402,4966,8464,176116,6912530,886930,816.6977788,20.80765595,104.7885161
3.14111E+12,35.613,-92.3192,2080,4532,87511,5463805,400137,1205.605693,19.30957635,88.29148279
3.14111E+12,35.611,-92.376,2300,3626,123053,5461580,338710,1506.227248,33.93629344,93.4114727
3.14111E+12,35.5257,-92.3039,3506,3879,99541,3240656,627159,835.4359371,25.6615107,161.6805878
3.14511E+12,35.2854,-91.8326,5470,4422,151907,4341420,786619,981.7774763,34.3525554,177.8876074
3.04511E+12,35.3055,-92.2508,7050,4545,100220,3884087,432913,854.5845985,22.05060506,95.25038504
3.04511E+12,35.3109,-92.3968,6280,7657,251823,9528027,494314,1244.3551,32.88794567,64.55713726
3.0451E+12,35.336,-92.1854,5357,4083,100271,3543520,689797,867.871663,24.55816801,168.9436689
3.0451E+12,35.3193,-92.2064,5560,4577,155449,4692980,426257,1025.339742,33.96307625,93.1302163
3.14511E+12,35.4131,-91.719,3797,6393,173788,5474123,854740,856.2682622,27.18410762,133.6993587
3.02911E+12,35.2844,-92.5879,5820,4522,161967,4453500,546105,984.8518355,35.8175586,120.7662539
3.02911E+12,35.4557,-92.5354,3733,4507,117192,3515768,650834,780.0683381,26.00221877,144.4051475
3.02911E+12,35.3856,-92.5559,4929,4655,101995,3126927,640932,671.7351235,21.91084855,137.6867884
3.02911E+12,35.3272,-92.7032,6089,2767,54909,2421454,265278,875.1189013,19.84423563,95.87206361
3.14111E+12,35.3982,-92.3762,4663,3903,118073,3101700,441506,794.6963874,30.25185755,113.1196516
3.14111E+12,35.5001,-92.5648,2724,5753,134819,4680180,513557,813.5199027,23.43455588,89.26768642
3.14111E+12,35.4813,-92.4218,4163,4781,111758,3912996,573241,818.4471868,23.37544447,119.8998118
3.14111E+12,35.5463,-92.6281,1828,3912,61665,2284142,150876,583.8808793,15.76303681,38.56748466
3.02911E+12,35.3965,-92.5358,4272,4899,124437,3909239,524391,797.9667279,25.4004899,107.0404164
